Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,51,,210053,STENT VASCULAR REVESTIDO COVERA 10X60MM-AVSLE10060,,UNIDADE,,"45.000,0000",1,"45.000,00",,A,"5.041.327,08",,"40,84"
,52,,211571,STENT VASCULAR COVERA 8X60MMX120CM-AVSLE08060,,UNIDADE,,"45.000,0000",1,"45.000,00",,A,"5.086.327,08",,"41,20"
,53,,204957,ELOVIE 25 MG/ML-4ML FR/AMP EV (BEVACIZUMABE),,FA C/100MG,,"786,2800",57,"44.817,96",,A,"5.131.145,04",,"41,57"
,54,,167128,PHESGO 600/600 MG- 10 ML FR/AMP SC(PERTUZUMABE/TRASTUZUMABE),,FRASC C/10ML,,"14.858,3396",3,"44.575,02",,A,"5.175.720,06",,"41,93"
,55,,205781,BRAFTOVI 75 MG CAPS DURA(ENCORAFENIBE),,CPR 75MG,,"173,7600",252,"43.787,52",,A,"5.219.507,58",,"42,28"
,56,,208176,STENT VASCULAR COVERA 8FR 120CM 7X100MM-AVSLE07100,,UNIDADE,,"43.000,0000",1,"43.000,00",,A,"5.262.507,58",,"42,63"
,57,,114434,STENT CONVENCIONAL ETEGRA 16X70MM-93CL1516L07,,UNIDADE,,"21.000,0000",2,"42.000,00",,A,"5.304.507,58",,"42,97"
,58,,216647,ENDOPROTESE VASCULAR BEGRAFT 14X29MM-BGA29142,,UNIDADE,,"42.000,0000",1,"42.000,00",,A,"5.346.507,58",,"43,31"
,59,,216670,TECENTRIQ 840 MG-14ML FR/AMP(ATEZOLIZUMABE),,FA C/840 MG,,"13.735,5503",3,"41.206,65",,A,"5.387.714,23",,"43,65"
,60,,209892,"STENT INTRACRANIANO ACCLINO FLEX PLUS 2,5X4MM-01001152",,UNIDADE,,"41.000,0000",1,"41.000,00",,A,"5.428.714,23",,"43,98"
,61,,203717,SOLUC PREENC INTRA ARTIC SYNOLIS VA 80/160 SER PREENC ,,UNIDADE,,"1.252,7018",32,"40.086,46",,A,"5.468.800,69",,"44,30"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,,,,4ML,,,,,,,,,,,
,62,,163832,ENDOPROTESE WRAPSODY 6X75MM 120CM-WRAPL06075,,UNIDADE,,"40.000,0000",1,"40.000,00",,A,"5.508.800,69",,"44,63"
,63,,191763,CATETER REMOCAO TROMBO CLEANER 6FR 65CM-700009XT,,UNIDADE,,"40.000,0000",1,"40.000,00",,A,"5.548.800,69",,"44,95"
,64,,46751,MICROESFERA EMBOSOFT 900-1200UM 2ML-110753,,UNIDADE,,"40.000,0000",1,"40.000,00",,A,"5.588.800,69",,"45,27"
,65,,163917,ENDOPROTESE WRAPSODY 7X50MM 120CM-WRAPL07050,,UNIDADE,,"40.000,0000",1,"40.000,00",,A,"5.628.800,69",,"45,60"
,66,,220799,"STENT INTRACRANIANO COMANECI PETIT PN 0,021POL-ANPP3188",,UNIDADE,,"40.000,0000",1,"40.000,00",,A,"5.668.800,69",,"45,92"
