,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
55,253,,"AMOXICILINA/CLAVULANATO POT 250/62,5MG/5ML-75ML FR SUSP EMS",FRASC C/75ML,,C,,"20,7632",,1,,"20,76",,"18.261,58",,"0,00 %",
56,157013,,AMOXICILINA/CLAVULANATO POTASSIO 500/125MG COMP REV EMS,COMPRIMIDO,,,,"1,1231",,23,,"25,83",,"18.287,41",,"0,00 %",
57,245,,AMYTRIL 25MG COMP REV-AMITRIPTILINA,COMP C/25MG,,C,,"0,1601",,4,,"0,64",,"18.288,05",,"0,00 %",
58,307,,ANLODIPINO 5MG COMP MEDLEY,COMP C/5MG,,,,"0,1262",,136,,"17,16",,"18.305,21",,"0,00 %",
59,57124,,ANSENTRON 2MG/ML-2ML AMP EV/IM-ONDANSETRONA,AMP C/4MG,,C,,"2,6093",,57,,"148,73",,"18.453,94",,"0,01 %",
60,45094,,ANSENTRON 2MG/ML-4ML AMP IM/EV-ONDANSETRONA,AMP C/8MG,,C,,"4,6587",,48,,"223,62",,"18.677,56",,"0,02 %",
61,202157,,ANTARA IV 100 MG/ML-5ML FR/AMP EV(LEVETIRACETAM),FA C/500MG,,,,"6,2922",,8,,"50,34",,"18.727,90",,"0,00 %",
62,9531,,APARELHO TRICOTOMIA DESCART CABECA FIXA LAMINA SIMPLES,UNIDADE,,C,,"1,0935",,2,,"2,19",,"18.730,08",,"0,00 %",
63,1857,,APRESOLINA 25MG DRG-HIDRALAZINA,DRAGEA,,C,,"0,4044",,727,,"294,02",,"19.024,10",,"0,02 %",
64,2322,,ARAMIN 10MG/ML-1ML AMP IM/EV-METARAMINOL,AMP C/10MG,,C,,"15,6986",,16,,"251,18",,"19.275,28",,"0,02 %",
65,7986,,"ATADURA ALGODAO ORTOPEDICA CREMER 10CMX1,80M-156836",UNIDADE,,,,"1,0746",,18,,"19,34",,"19.294,62",,"0,00 %",
66,7982,,"ATADURA ALGODAO ORTOPEDICA CREMER 15CMX1,80M-156850",UNIDADE,,,,"1,5779",,134,,"211,44",,"19.506,07",,"0,02 %",
67,7984,,"ATADURA ALGODAO ORTOPEDICA CREMER 20CMX1,80M-156867",UNIDADE,,,,"2,0676",,66,,"136,46",,"19.642,53",,"0,01 %",
68,204394,,"ATADURA CREPE 15CMX1,8M 13F NEVE-791190000900",UNIDADE,,,,"1,0652",,161,,"171,50",,"19.814,03",,"0,01 %",
69,204391,,"ATADURA CREPE 20CMX1,8M 13F NEVE-791190001100",UNIDADE,,,,"1,1342",,24,,"27,22",,"19.841,25",,"0,00 %",
70,204392,,"ATADURA CREPE 30CMX1,8M 13F NEVE-791190001500",UNIDADE,,,,"3,7802",,3,,"11,34",,"19.852,59",,"0,00 %",
